Post Title,Sq ft,Bedroom,Bathroom,Balcony,Parking,Lift,Rent Floor,Total Number of Floor,Price,Service Charge,Build Year,Area,Extra Aminities, Generator,Property Type,Interior,Building Regiration Type,Road In Front of House,Gas,Servant Room,Facing,Tiles,Drawing Room,Dinning Room
ikaNA 2b,3500,3,4,2,1,1,2,7,170000,10000,2005,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,24,LPG,YES,WEST,YES,YES,YES
MARZUQ,2450,3,3,3,1,2,4,9,170000,10000,2023,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,24,LPG,YES,WEST,YES,YES,YES
Civil Parisa,4150,4,4,3,2,2,4,9,400000,25000,2024,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,24,LPG,YES,EAST,YES,YES,YES
"Sanmar ManzaNA A2 , A6",3500,3,4,3,2,2,"2,6",9,230000,20000,2012,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,24, GOVT,YES,NORTH,YES,YES,YES
Bti e Supreme A6,2000,3,4,3,1,1,6,7,200000,15000,2015,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,24,GOVT,YES,WEST,YES,YES,YES
Ventura OriaNA,3200,4,4,2,1,1,6,7,250000,15000,2012,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,24,GOVT,YES,WEST,YES,YES,YES
Suvau ShahNAwaz A6 A7,3800,3,4,2,2,2,"6,7",10,350000,20000,2025,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,24,LPG,YES,SOUTH,YES,YES,YES
Ventura Rebecca A5,3600,4,4,3,2,2,5,9,300000,25000,2012,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,24,GOVT,YES,EAST,YES,YES,YES
Urvee,3400,4,4,3,2,2,7,11,215000,15000,2018,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,24,LPG,YES,SOUTH,YES,YES,YES
mamata,2800,3,3,2,2,1,2,7,220000,15000,2010,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,24,GOVT,YES,WEST,YES,YES,YES
NAvaNA ruby caella ,3700,4,4,3,2,2,10,12,420000,24000,2019,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,24,LPG,YES,WEST,YES,YES,YES
NAvaNA syed caselda 10a,4000,3,4,3,2,2,10,11,400000,2000,2017,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,24,LPG,YES,SOUTH,YES,YES,YES
EHL Moriyum Residence 8A,4000,3,4,3,2,2,8,14,500000,45000,2017,Baridhara Diplomatic Zone,NA,NA,Furnished apartment,Furnished,Residential,24,LPG,YES,NORTH,YES,YES,YES
